"time" "room" "temp"
"2022-11-25 05:19:19" "room7" 20.1
"2022-11-25 05:19:19" "room8" 20.5
"2022-11-25 05:19:19" "room9" 20.8
"2022-11-25 06:26:27" "room0" 21.1
"2022-11-25 06:26:27" "room1" 21.2
"2022-11-25 06:26:27" "room2" 20.9
"2022-11-25 06:26:27" "room3" 20.3
"2022-11-25 06:26:27" "room4" 20.1
"2022-11-25 06:26:27" "room5" 19.6
"2022-11-25 06:26:27" "room6" 20.1
"2022-11-25 06:26:27" "room7" 20.2
"2022-11-25 06:26:27" "room8" 20.6
"2022-11-25 06:26:27" "room9" NA
"2022-11-25 07:19:00" "room0" 21.2
"2022-11-25 07:19:00" "room1" 21.2
"2022-11-25 07:19:00" "room2" 20.9
"2022-11-25 07:19:00" "room3" 20.3
"2022-11-25 07:19:00" "room4" 20.1
"2022-11-25 07:19:00" "room5" 19.6
"2022-11-25 07:19:00" "room6" 20.2
"2022-11-25 07:19:00" "room7" 20.1
"2022-11-25 07:19:00" "room8" 20.6
"2022-11-25 07:19:00" "room9" NA
"2022-11-25 08:27:28" "room0" 21.3
"2022-11-25 08:27:28" "room1" 21.2
"2022-11-25 08:27:28" "room2" 20.9
"2022-11-25 08:27:28" "room3" NA
"2022-11-25 08:27:28" "room4" NA
"2022-11-25 08:27:28" "room5" 19.6
"2022-11-25 08:27:28" "room6" 20.3
"2022-11-25 08:27:28" "room7" 20.2
"2022-11-25 08:27:28" "room8" 20.6
"2022-11-25 08:27:28" "room9" NA
"2022-11-25 09:20:38" "room0" 21.4
"2022-11-25 09:20:38" "room1" 21.3
"2022-11-25 09:20:38" "room2" 20.8
"2022-11-25 09:20:38" "room3" 20.4
"2022-11-25 09:20:38" "room4" 20.1
"2022-11-25 09:20:38" "room5" 19.7
"2022-11-25 09:20:38" "room6" 20.4
"2022-11-25 09:20:38" "room7" 20.2
"2022-11-25 09:20:38" "room8" 20.6
"2022-11-25 09:20:38" "room9" NA
"2022-11-25 10:25:39" "room0" 21.3
"2022-11-25 10:25:39" "room1" NA
"2022-11-25 10:25:39" "room2" 20.8
"2022-11-25 10:25:39" "room3" 20.5
"2022-11-25 10:25:39" "room4" 20.1
"2022-11-25 10:25:39" "room5" NA
"2022-11-25 10:25:39" "room6" 20.4
"2022-11-25 10:25:39" "room7" 20.2
"2022-11-25 10:25:39" "room8" NA
"2022-11-25 10:25:39" "room9" NA
"2022-11-25 11:20:22" "room0" 21.4
"2022-11-25 11:20:22" "room1" 21.5
"2022-11-25 11:20:22" "room2" 20.8
"2022-11-25 11:20:22" "room3" 20.5
"2022-11-25 11:20:22" "room4" 20.2
"2022-11-25 11:20:22" "room5" 19.9
"2022-11-25 11:20:22" "room6" 20.5
"2022-11-25 11:20:22" "room7" NA
"2022-11-25 11:20:22" "room8" 20.6
"2022-11-25 11:20:22" "room9" NA
"2022-11-25 12:38:38" "room0" 21.5
"2022-11-25 12:38:38" "room1" 21.4
"2022-11-25 12:38:38" "room2" 20.9
"2022-11-25 12:38:38" "room3" 20.5
"2022-11-25 12:38:38" "room4" 20.2
"2022-11-25 12:38:38" "room5" 19.9
